FTSE Bursa Malaysia KLCI, 1621.95
STI, 4529.35
HANG SENG INDEX, 26063.46
KOSPI Composite Index, 3921.18
NIKKEI 225, 49319.61
SET Index, 1266.28
PSEi INDEX, 6009.54
FTSE China A50, 15161.7
SSE Composite Index, 3904.8987
SZSE COMP SUB INDEX, 13106.95
S&P/ASX 200, 8575.9
Composite Index, 8518.337891
NZX 50 INDEX GROS, 13454.66
TSEC weighted index, 27439.84
MOEX Russia Index, 2858.56
FTSE 100, 9720.51
DAX, 23836.79
NIFTY 50, 26287.6
S&P BSE SENSEX, 85706.67
Dow Jones, 47716.42
NYSE COMPOSITE INDEX, 21824.67
S&P 500, 6849.09
NASDAQ Composite, 23365.686
S&P/TSX Composite index, 31382.78
IBOVESPA, 159072.12
Crude Palm Oil, 4022.5
Brent Oil, 63.3
Crude Oil, 59.47
Gold, 4274.5
Silver, 58.005
SGD/MYR, 3.1886
USD/MYR, 4.1305
CNY/MYR, 0.58429
GBP/MYR, 5.4658
HKD/MYR, 0.53058
100 TWD/MYR, 13.08
100 JPY/MYR, 2.653
NZD/MYR, 2.3682
AUD/MYR, 2.7042
EUR/MYR, 4.7917
CAD/MYR, 2.9517
CHF/MYR, 5.1386
Bitcoin USD, 86423.61
Ethereum USD, 2829.5317
